category_id,category_name,subcategory_id,subcategory_name,article_count
9,กระจก และวัสดุโปร่งแสง,36,กระจกตกแต่งภายใน,251
9,กระจก และวัสดุโปร่งแสง,,,246
6,วัสดุปูพื้น,348,พื้นไม้,159
7,วัสดุปิดผิวผนัง,,,148
11,ประตู-หน้าต่าง,353,ประตู,135
6,วัสดุปูพื้น,,,124
15,โครงสร้าง,217,เหล็ก,108
1,เฟอร์นิเจอร์,,,107
15,โครงสร้าง,401,ฐานราก,104
7,วัสดุปิดผิวผนัง,228,ฟิล์มปิดผิว/ฟิล์มตกแต่ง,97
14,ห้องน้ำ,391,ผนังห้องน้ำสำเร็จรูป,85
10,วัสดุแผ่น,63,ไม้อัด,81
7,วัสดุปิดผิวผนัง,130,ลามิเนตปิดผิว,77
7,วัสดุปิดผิวผนัง,214,วอลเปเปอร์,70
11,ประตู-หน้าต่าง,,,69
15,โครงสร้าง,42,ไม้,69
7,วัสดุปิดผิวผนัง,34,ไม้ปิดผิว,67
11,ประตู-หน้าต่าง,354,หน้าต่าง,66
22,เครื่องจักร อุปกรณ์ช่าง เคมีภัณฑ์,395,ผลิตภัณฑ์ทาไม้ป้องกันกำจัดปลวกและแมลงทำลายไม้,65
12,รั้ว ระแนง วัสดุตกแต่งอาคาร,,,62
7,วัสดุปิดผิวผนัง,301,วัสดุปิดผิวผนังอื่นๆ,61
9,กระจก และวัสดุโปร่งแสง,62,กระจกสำหรับอาคารสูง,55
10,วัสดุแผ่น,189,พลาสวู้ด,53
4,"โคมไฟ, หลอดไฟ",263,โคมไฟเพดาน,50
15,โครงสร้าง,93,คอนกรีต,50
12,รั้ว ระแนง วัสดุตกแต่งอาคาร,229,รั้ว ระแนง,49
3,"ผ้าบุ, ผ้าม่าน, เครื่องนอน",3,ผ้าม่าน,47
1,เฟอร์นิเจอร์,326,โต๊ะ,42
1,เฟอร์นิเจอร์,327,เก้าอี้,42
14,ห้องน้ำ,,,39
2,ของแต่งบ้าน,,,35
4,"โคมไฟ, หลอดไฟ",,,35
1,เฟอร์นิเจอร์,329,เตียง,33
19,งานระบบไฟฟ้า,96,สวิตช์-ปลั๊ก,31
14,ห้องน้ำ,259,ฉากกั้นอาบน้ำ,30
1,เฟอร์นิเจอร์,334,ชุดเฟอร์นิเจอร์,29
4,"โคมไฟ, หลอดไฟ",298,โคมไฟ หลอดไฟ อื่นๆ,29
11,ประตู-หน้าต่าง,305,อุปกรณ์ ประตูหน้าต่างอื่นๆ,28
7,วัสดุปิดผิวผนัง,187,หินกรุปิดผิว,27
8,วัสดุฝ้าเพดาน,86,ไม้ฝ้าเพดาน,26
11,ประตู-หน้าต่าง,388,กุญแจ,26
3,"ผ้าบุ, ผ้าม่าน, เครื่องนอน",,,25
5,สวน และภายนอกอาคาร,399,บล็อกกำแพงกันดิน,25
15,โครงสร้าง,201,อิฐ,25
17,งานระบบประปา,43,ปั๊มน้ำ,23
6,วัสดุปูพื้น,108,กระเบื้อง,22
6,วัสดุปูพื้น,300,วัสดุปูพื้นอื่นๆ,22
5,สวน และภายนอกอาคาร,32,วัสดุตกแต่งภูมิทัศน์,21
6,วัสดุปูพื้น,369,ไวนิล,21
7,วัสดุปิดผิวผนัง,146,วีเนียร์,20
8,วัสดุฝ้าเพดาน,302,วัสดุกรุฝ้าเพดานอื่นๆ,20
10,วัสดุแผ่น,177,แผ่นเกล็ดไม้อัดเรียงชิ้น หรือ OSB,20
11,ประตู-หน้าต่าง,38,บานพับ รางลิ้นชัก รางบานประตู รางม่าน,20
2,ของแต่งบ้าน,406,ตู้ไปรษณีย์,19
6,วัสดุปูพื้น,129,พื้นหิน,19
9,กระจก และวัสดุโปร่งแสง,87,อะครีลิค,19
17,งานระบบประปา,407,มาตรวัดน้ำ,19
1,เฟอร์นิเจอร์,328,โซฟา,18
13,หลังคา,230,หลังคาโปร่งแสง,18
3,"ผ้าบุ, ผ้าม่าน, เครื่องนอน",344,มู่ลี่,17
6,วัสดุปูพื้น,398,บล็อกปูพื้น,17
7,วัสดุปิดผิวผนัง,241,สีทาผนัง,17
14,ห้องน้ำ,41,ก๊อกน้ำ,17
5,สวน และภายนอกอาคาร,400,รางระบายน้ำ,16
14,ห้องน้ำ,14,สุขภัณฑ์,16
5,สวน และภายนอกอาคาร,5,วัสดุปูพื้นที่จอดรถ หรือถนน,15
7,วัสดุปิดผิวผนัง,404,คิ้ว,15
10,วัสดุแผ่น,,,15
30,ห้องครัว,,,15
8,วัสดุฝ้าเพดาน,415,ไวนิล,14
3,"ผ้าบุ, ผ้าม่าน, เครื่องนอน",30,ผ้าบุ,13
23,บันได ลิฟท์,23,บันได,13
1,เฟอร์นิเจอร์,295,เฟอร์นิเจอร์อื่นๆ,12
5,สวน และภายนอกอาคาร,,,12
6,วัสดุปูพื้น,413,พื้นสนามกีฬา,12
7,วัสดุปิดผิวผนัง,109,วัสดุตกแต่งผนัง 3 มิติ,12
7,วัสดุปิดผิวผนัง,414,ทองแดง,12
14,ห้องน้ำ,381,ท่อ และการระบายน้ำ,12
2,ของแต่งบ้าน,126,ภาพวาด ภาพพิมพ์,11
2,ของแต่งบ้าน,341,"โมเดล, พร็อพตกแต่ง",11
4,"โคมไฟ, หลอดไฟ",31,ไฟ แอลอีดี,11
24,อื่นๆ,101,บ้านสำเร็จรูป บ้านคอนเทนเนอร์ บ้านโมดูลล่า,10
4,"โคมไฟ, หลอดไฟ",127,สปอร์ตไลท์,9
7,วัสดุปิดผิวผนัง,221,สติ๊กเกอร์ปิดผนัง,9
7,วัสดุปิดผิวผนัง,403,บัวเชิง,9
8,วัสดุฝ้าเพดาน,,,9
12,รั้ว ระแนง วัสดุตกแต่งอาคาร,365,ราวกันตก ระเบียง,9
4,"โคมไฟ, หลอดไฟ",270,โคมไฟดาวน์ไลท์,8
7,วัสดุปิดผิวผนัง,405,กรุยเชิงผนัง,8
10,วัสดุแผ่น,393,ไม้ประสาน,8
11,ประตู-หน้าต่าง,64,มือจับประตู,8
22,เครื่องจักร อุปกรณ์ช่าง เคมีภัณฑ์,347,"น้ำยาทำความสะอาด, น้ำยาเคลือบผิว",8
4,"โคมไฟ, หลอดไฟ",264,โคมไฟเสาสนาม,7
5,สวน และภายนอกอาคาร,299,อุปกรณ์เกี่ยวกับสวนอื่นๆ,7
7,วัสดุปิดผิวผนัง,7,อลูมิเนียมคอมโพสิท,7
12,รั้ว ระแนง วัสดุตกแต่งอาคาร,364,ฟาซาด,7
17,งานระบบประปา,154,ท่อประปา,7
23,บันได ลิฟท์,75,ลิฟท์,7
1,เฟอร์นิเจอร์,335,ม้านั่ง,6
4,"โคมไฟ, หลอดไฟ",260,โคมไฟผนัง,6
5,สวน และภายนอกอาคาร,212,อุปกรณ์กีฬากลางแจ้ง,6
10,วัสดุแผ่น,37,ซีเมนต์ บอร์ด,6
15,โครงสร้าง,68,อลูมิเนียม,6
2,ของแต่งบ้าน,382,ป้าย,5
6,วัสดุปูพื้น,205,จมูกบันได,5
7,วัสดุปิดผิวผนัง,175,ผนังกระเบื้อง,5
7,วัสดุปิดผิวผนัง,233,สแตนเลสปิดผิว,5
8,วัสดุฝ้าเพดาน,188,ลามิเนต,5
11,ประตู-หน้าต่าง,387,กลอนประตู,5
13,หลังคา,366,กระเบื้องหลังคา,5
14,ห้องน้ำ,349,อ่างล้างหน้า,5
24,อื่นๆ,,,5
